crop_name,url,kannada_name
heralekayi,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/heralekayi.jpg,ಹೇರಳೆಕಾಯಿ
horse-gram,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/horse-gram.jpg,ಹುರುಳಿ
ivy-gourd,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/ivy-gourd.jpg,ತೊಂಡೆಕಾಯಿ
jackfruit,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/jackfruit.jpg,ಹಲಸಿನಕಾಯಿ
kaadu-mavu,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/kaadu-mavu.jpg,ಕಾಡು ಮಾವು
knol-khol,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/knol-khol.jpg,ನವಿಲು ಕೋಸು
lablab,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/lablab.jpg,ಅವರೆಕಾಯಿ
ladies-finger,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/ladies-finger.jpg,ಬೆಂಡೆಕಾಯಿ
lesser-yam,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/lesser-yam.jpg,ಸಣ್ಣ ಗೆಣಸು
lima-bean,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/lima-bean.jpg,ಲಿಮಾ ಬೀನ್ಸ್
little-gourd,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/little-gourd.jpg,ಮಡಹಾಗಲಕಾಯಿ
malabar-cucumber,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/malabar-cucumber.jpg,ಮೋಗೇ ಕಾಯಿ
malabar-spinach,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/malabar-spinach.jpg,ಬಸಳೆ ಸೊಪ್ಪು
milky-mushroom,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/milky-mushroom.jpg,ಹಾಲು ಅಣಬೆ
mint,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/mint.jpg,ಪುದೀನಾ
mushroom,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/mushroom.jpg,ಅಣಬೆ
nutmeg-pericarp,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/nutmeg-pericarp.jpg,ಜಾಕಾಯಿ ಸಿಪ್ಪೆ
onion,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/onion.jpg,ಈರುಳ್ಳಿ
peas,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/peas.jpg,ಬಟಾಣಿ
pigeon-pea,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/pigeon-pea.jpg,ತೊಗರಿ
pointed-gourd,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/pointed-gourd.jpg,ಪರ್ವಲ್
potato,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/potato.jpg,ಆಲೂಗಡ್ಡೆ
pumpkin,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/pumpkin.jpg,ಕುಂಬಳಕಾಯಿ
radish,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/radish.jpg,ಮೂಲಂಗಿ
ridge-gourd,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/ridge-gourd.jpg,ಹೀರೆಕಾಯಿ
roselle,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/roselle.jpg,ಪುಂಡಿ
round-gourd,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/round-gourd.jpg,ಟಿಂಡಾ
sambar-onion,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/sambar-onion.jpg,ಸಾಂಬಾರ್ ಈರುಳ್ಳಿ
scarlet-gourd,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/scarlet-gourd.jpg,ತೊಂಡೆಕಾಯಿ
snake-gourd,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/snake-gourd.jpg,ಪಡುವಲಕಾಯಿ
soybean,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/soybean.jpg,ಸೋಯಾ ಅವರೆ
